# (dyne/cm2) (K)     (cm2/s)  from CIRA
Pressure	Temp	Kzz
7.8257e-03     229          5.0000e+05
1.1548e+01     229.4964     5.0000e+05
2.1135e+03     228.9568     5.0000e+05
3.5481e+04     229.4964     5.0000e+05
6.1306e+04     232.1942     5.0000e+05
8.4139e+04     234.8921     5.0000e+05
1.0000e+05     237.0504     5.0000e+05
1.1885e+05     238.1295     5.0000e+05
1.4125e+05     242.4460     5.0000e+05
1.8302e+05     254.8561     5.0000e+05
2.3041e+05     268.8849     5.0000e+05
2.6607e+05     271.5827     5.0000e+05
3.7584e+05     276.4388     5.0000e+05
4.8697e+05     282.9137     5.0000e+05
6.4938e+05     292.0863     5.0000e+05
7.7179e+05     300.7194     5.0000e+05
1.0292e+06     316.9065     5.0000e+05
1.3335e+06     333.0935     5.0000e+05
1.7783e+06     347.6619     5.0000e+05
2.3041e+06     358.4532     5.0000e+05
3.2546e+06     366.5468     5.0000e+05
3.9811e+06     369.2446     5.0000e+05
5.3088e+06     370.3237     5.0000e+05
7.7179e+06     370.8633     5.0000e+05
1.4125e+07     371.9424     5.0000e+05
2.5119e+07     373.0216     5.0000e+05
4.5973e+07     375.7194     5.0000e+05
6.8786e+07     380.0360     5.0000e+05
9.4406e+07     385.4317     5.0000e+05
1.0000e+08     386.0000     5.0000e+05





