Wavelength (nm)	Flux (ergs/cm^2/s/nm)
0.55	235.197
0.65	616.907
0.75	920.052
0.85	1055.0
0.95	1055.0
1.05	1055.0
1.15	1636.31
1.25	2641.22
1.35	2622.0
1.45	2577.7000000000003
1.55	2577.7000000000003
1.65	2338.1
1.75	2332.38
1.85	2332.38
1.95	1542.04
2.0500000000000003	1202.18
2.15	1202.18
2.25	1202.18
2.35	1202.18
2.4499999999999997	1202.18
2.5500000000000003	1202.18
2.65	1202.18
2.75	1202.18
2.85	1202.18
2.9499999999999997	633.513
3.0500000000000003	485.994
3.15	367.41200000000003
3.25	669.135
3.35	1019.69
3.4499999999999997	274.705
3.5500000000000003	263.225
3.65	426.45300000000003
3.75	315.106
3.85	247.205
3.95	247.844
4.05	406.714
4.15	241.338
4.25	221.044
4.35	258.999
4.45	419.927
4.55	292.676
4.6499999999999995	244.26
4.75	194.29500000000002
4.8500000000000005	174.418
4.95	199.754
5.05	243.96800000000002
5.15	147.643
5.25	185.801
5.35	145.152
5.45	221.431
5.55	136.719
5.6499999999999995	131.448
5.75	210.788
5.8500000000000005	125.21000000000001
5.95	134.786
6.05	120.422
6.15	111.36800000000001
6.25	161.987
6.35	300.6720000000001
6.45	107.554
6.550000000000001	180.056
6.6499999999999995	183.803
6.75	118.35000000000001
6.8500000000000005	90.2528
6.949999999999999	116.059
7.05	84.8265
7.15	80.63
7.25	79.03640000000001
7.35	100.431
7.45	99.0576
7.550000000000001	96.7129
7.6499999999999995	94.07540000000002
7.75	75.9877
7.85	75.8926
7.95	66.4787
8.05	69.42040000000001
8.149999999999999	68.6142
8.25	65.9912
8.35	66.3155
8.45	56.673500000000004
8.55	56.41160000000001
8.65	55.935500000000005
8.75	85.0943
8.85	72.88340000000001
8.95	55.3492
9.05	61.5375
9.15	66.37490000000001
9.25	49.598600000000005
9.350000000000001	128.085
9.45	68.24260000000001
9.549999999999999	49.0037
9.65	46.3235
9.75	54.95870000000001
9.85	84.52140000000001
9.950000000000001	44.063700000000004
10.05	2173.18
10.149999999999999	2174.36
10.25	2174.36
10.35	2174.36
10.45	2174.36
10.55	2174.36
10.65	2174.36
10.75	2174.36
10.85	2174.36
10.95	2174.36
11.05	2174.36
11.15	2174.36
11.25	2174.36
11.350000000000001	2174.36
11.45	2174.36
11.549999999999999	2174.36
11.65	2174.36
11.75	2174.36
11.85	2174.36
11.950000000000001	2174.36
12.05	2174.36
12.149999999999999	2174.36
12.25	2174.36
12.35	2174.36
12.45	2174.36
12.55	2174.36
12.65	2174.36
12.75	2174.36
12.85	2174.36
12.95	2174.36
13.05	2174.36
13.15	2174.36
13.25	2174.36
13.350000000000001	2174.36
13.45	2174.36
13.549999999999999	2174.36
13.65	2174.36
13.75	2174.36
13.85	2174.36
13.950000000000001	2174.36
14.05	2174.36
14.149999999999999	2174.36
14.25	2174.36
14.35	2174.36
14.45	2174.36
14.55	2174.36
14.65	2174.36
14.75	2174.36
14.85	2174.36
14.95	2174.36
15.049999999999999	2174.36
15.15	2174.36
15.25	2174.36
15.350000000000001	2174.36
15.450000000000001	2174.36
15.549999999999999	2174.36
15.65	2174.36
15.75	2174.36
15.85	2174.36
15.95	2174.36
16.049999999999997	2174.36
16.150000000000002	2174.36
16.25	2174.36
16.35	2174.36
16.45	2174.36
16.549999999999997	2174.36
16.650000000000002	2174.36
16.75	2174.36
16.85	2174.36
16.95	2174.36
17.05	2174.36
17.15	2174.36
17.25	2174.36
17.35	2174.36
17.45	2174.36
17.55	2174.36
17.65	2174.36
17.75	2174.36
17.85	2174.36
17.95	2174.36
18.05	2174.36
18.15	2174.36
18.25	2174.36
18.35	2174.36
18.450000000000003	2174.36
18.55	2174.36
18.65	2174.36
18.75	2174.36
18.849999999999998	2174.36
18.950000000000003	2174.36
19.05	2174.36
19.15	2174.36
19.25	2174.36
19.349999999999998	2174.36
19.45	2174.36
19.55	2174.36
19.650000000000002	2174.36
19.75	2174.36
19.849999999999998	2174.36
19.95	2174.36
20.049999999999997	1907.07
20.150000000000002	1906.92
20.25	1906.92
20.35	1906.92
20.45	1906.92
20.549999999999997	1906.92
20.650000000000002	1906.92
20.75	1906.92
20.85	1906.92
20.95	1906.92
21.05	1906.92
21.15	1906.92
21.25	1906.92
21.35	1906.92
21.45	1906.92
21.55	1906.92
21.65	1906.92
21.75	1906.92
21.85	1906.92
21.95	1906.92
22.05	1906.92
22.15	1906.92
22.25	1906.92
22.349999999999998	1906.92
22.450000000000003	1906.92
22.55	1906.92
22.65	1906.92
22.75	1906.92
22.849999999999998	1906.92
22.950000000000003	1906.92
23.05	1906.92
23.150000000000002	1906.92
23.25	1906.92
23.349999999999998	1906.92
23.45	1906.92
23.55	1906.92
23.650000000000002	1906.92
23.75	1906.92
23.85	1906.92
23.95	1906.92
24.049999999999997	1906.92
24.150000000000002	1906.92
24.25	1906.92
24.35	1906.92
24.45	1906.92
24.549999999999997	1906.92
24.65	1906.92
24.75	1906.92
24.85	1906.92
24.95	1906.92
25.05	1906.92
25.15	1906.92
25.25	1906.92
25.35	1906.92
25.45	1906.92
25.55	1906.92
25.65	1906.92
25.75	1906.92
25.85	1906.92
25.95	1906.92
26.05	1906.92
26.15	1906.92
26.25	1906.92
26.349999999999998	1906.92
26.450000000000003	1906.92
26.55	1906.92
26.65	1906.92
26.75	1906.92
26.849999999999998	1906.92
26.950000000000003	1906.92
27.05	1906.92
27.150000000000002	1906.92
27.25	1906.92
27.349999999999998	1906.92
27.45	1906.92
27.55	1906.92
27.650000000000002	1906.92
27.75	1906.92
27.85	1906.92
27.95	1906.92
28.049999999999997	1906.92
28.150000000000002	1906.92
28.25	1906.92
28.35	1906.92
28.45	1906.92
28.55	1906.92
28.65	1906.92
28.75	1906.92
28.85	1906.92
28.95	1906.92
29.05	1906.92
29.15	1906.92
29.25	1906.92
29.35	1906.92
29.45	1906.92
29.55	1906.92
29.65	1906.92
29.75	1906.92
29.85	1906.92
29.95	1906.92
30.05	1684.0900000000001
30.15	1683.96
30.25	1683.96
30.349999999999998	1683.96
30.450000000000003	1683.96
30.55	1683.96
30.65	1683.96
30.75	1683.96
30.849999999999998	1683.96
30.95	1683.96
31.05	1683.96
31.150000000000002	1683.96
31.25	1683.96
31.35	1683.96
31.45	1683.96
31.55	1683.96
31.65	1683.96
31.75	1683.96
31.850000000000005	1683.96
31.95	1683.96
32.050000000000004	1683.96
32.15	1683.96
32.25	1683.96
32.349999999999994	1683.96
32.45	1683.96
32.550000000000004	1683.96
32.65	1683.96
32.75	1683.96
32.849999999999994	1683.96
32.95	1683.96
33.050000000000004	1683.96
33.15	1683.96
33.25	1683.96
33.349999999999994	1683.96
33.45	1683.96
33.550000000000004	1683.96
33.65	1683.96
33.75	1683.96
33.85	1683.96
33.95	1683.96
34.05	1683.96
34.15	1683.96
34.25	1683.96
34.35	1683.96
34.45	1683.96
34.55	1683.96
34.65	1683.96
34.75	1683.96
34.85	1683.96
34.95	1683.96
35.05	1683.96
35.15	1683.96
35.25	1683.96
35.35	1683.96
35.45	1683.96
35.55	1683.96
35.65	1683.96
35.75	1683.96
35.85	1683.96
35.95	1683.96
36.05	1683.96
36.15	1683.96
36.25	1683.96
36.35	1683.96
36.45	1683.96
36.55	1683.96
36.65	1683.96
36.75	1683.96
36.85	1683.96
36.949999999999996	1683.96
37.05	1683.96
37.150000000000006	1683.96
37.25	1683.96
37.35	1683.96
37.449999999999996	1683.96
37.55	1683.96
37.650000000000006	1683.96
37.75	1683.96
37.85	1683.96
37.949999999999996	1683.96
38.05	1683.96
38.150000000000006	1683.96
38.25	1683.96
38.35	1683.96
38.449999999999996	1683.96
38.550000000000004	1683.96
38.65	1683.96
38.75	1683.96
38.85	1683.96
38.949999999999996	1683.96
39.050000000000004	1683.96
39.15	1683.96
39.25	1683.96
39.35	1683.96
39.449999999999996	1683.96
39.550000000000004	1683.96
39.65	1683.96
39.75	1683.96
39.849999999999994	1683.96
39.95	1683.96
40.050000000000004	33.8591
40.15	32.9396
40.25	32.9396
40.349999999999994	32.9396
40.45	32.9396
40.550000000000004	32.9396
40.65	32.9396
40.75	32.9396
40.849999999999994	32.9396
40.95	32.9396
41.050000000000004	32.9396
41.15	32.9396
41.25	32.9396
41.349999999999994	32.9396
41.45	32.9396
41.55	32.9396
41.65	32.9396
41.75	32.9396
41.85	32.9396
41.95	32.9396
42.05	32.9396
42.15	32.9396
42.25	32.9396
42.35	32.9396
42.45	32.9396
42.55	32.9396
42.65	32.9396
42.75	32.9396
42.85	32.9396
42.95	32.9396
43.05	32.9396
43.15	32.9396
43.25	32.9396
43.35	32.9396
43.45	32.9396
43.55	32.9396
43.65	32.9396
43.75	32.9396
43.85	32.9396
43.95	32.9396
44.05	32.9396
44.15	32.9396
44.25	32.9396
44.35	32.9396
44.45	32.9396
44.55	32.9396
44.650000000000006	32.9396
44.75	32.9396
44.85	32.9396
44.949999999999996	32.9396
45.05	32.9396
45.150000000000006	32.9396
45.25	32.9396
45.35	32.9396
45.449999999999996	32.9396
45.55	32.9396
45.650000000000006	32.9396
45.75	32.9396
45.85	32.9396
45.949999999999996	32.9396
46.05	32.9396
46.15	32.9396
46.25	32.9396
46.35	32.9396
46.449999999999996	32.9396
46.550000000000004	32.9396
46.65	32.9396
46.75	32.9396
46.85	32.9396
46.949999999999996	32.9396
47.050000000000004	32.9396
47.15	32.9396
47.25	32.9396
47.35	32.9396
47.449999999999996	32.9396
47.550000000000004	32.9396
47.65	32.9396
47.75	32.9396
47.849999999999994	32.9396
47.95	32.9396
48.050000000000004	32.9396
48.15	32.9396
48.25	32.9396
48.349999999999994	32.9396
48.45	32.9396
48.550000000000004	32.9396
48.65	32.9396
48.75	32.9396
48.849999999999994	32.9396
48.95	32.9396
49.050000000000004	32.9396
49.15	32.9396
49.25	32.9396
49.35	32.9396
49.45	32.9396
49.55	32.9396
49.65	32.9396
49.75	32.9396
49.85	32.9396
49.95	32.9396
50.05	49.3648
50.15	49.3739
50.25	49.3739
50.35	49.3739
50.45	49.3739
50.55	49.3739
50.65	49.3739
50.75	49.3739
50.85	49.3739
50.95	49.3739
51.05	49.3739
51.15	49.3739
51.25	49.3739
51.35	49.3739
51.45	49.3739
51.55	49.3739
51.65	49.3739
51.75	49.3739
51.85	49.3739
51.95	49.3739
52.05	49.3739
52.15	49.3739
52.25	49.3739
52.35	49.3739
52.449999999999996	49.3739
52.55	49.3739
52.650000000000006	49.3739
52.75	49.3739
52.85	49.3739
52.949999999999996	49.3739
53.05	49.3739
53.150000000000006	49.3739
53.25	49.3739
53.35	49.3739
53.449999999999996	49.3739
53.55	49.3739
53.650000000000006	49.3739
53.75	49.3739
53.85	49.3739
53.949999999999996	49.3739
54.050000000000004	49.3739
54.15	49.3739
54.25	49.3739
54.35	49.3739
54.449999999999996	49.3739
54.550000000000004	49.3739
54.65	49.3739
54.75	49.3739
54.85	49.3739
54.949999999999996	49.3739
55.050000000000004	49.3739
55.15	49.3739
55.25	49.3739
55.35	49.3739
55.45	49.3739
55.550000000000004	49.3739
55.65	49.3739
55.75	49.3739
55.849999999999994	49.3739
55.95	49.3739
56.050000000000004	49.3739
56.15	49.3739
56.25	49.3739
56.349999999999994	49.3739
56.45	49.3739
56.550000000000004	49.3739
56.65	49.3739
56.75	49.3739
56.849999999999994	49.3739
56.95	49.3739
57.05	49.3739
57.15	49.3739
57.25	49.3739
57.35	49.3739
57.45	49.3739
57.55	49.3739
57.65	49.3739
57.75	49.3739
57.85	49.3739
57.95	49.3739
58.05	49.3739
58.15	49.3739
58.25	49.3739
58.35	49.3739
58.45	49.3739
58.55	49.3739
58.65	49.3739
58.75	49.3739
58.85	49.3739
58.95	49.3739
59.05	49.3739
59.15	49.3739
59.25	49.3739
59.35	49.3739
59.45	49.3739
59.55	49.3739
59.65	49.3739
59.75	49.3739
59.85	49.3739
59.95	49.3739
60.05	78.1246
60.15	78.1407
60.25	78.1407
60.35	78.1407
60.449999999999996	78.1407
60.55	78.1407
60.650000000000006	78.1407
60.75	78.1407
60.85	78.1407
60.949999999999996	78.1407
61.05	78.1407
61.150000000000006	78.1407
61.25	78.1407
61.35	78.1407
61.449999999999996	78.1407
61.55	78.1407
61.650000000000006	78.1407
61.75	78.1407
61.85	78.1407
61.949999999999996	78.1407
62.050000000000004	78.1407
62.15	78.1407
62.25	78.1407
62.35	78.1407
62.449999999999996	78.1407
62.55	78.1407
62.65	78.1407
62.75	78.1407
62.85	78.1407
62.95	78.1407
63.05	78.1407
63.15	78.1407
63.25	78.1407
63.35	78.1407
63.45	78.1407
63.55	78.1407
63.65	78.1407
63.75	78.1407
63.85	78.1407
63.95000000000001	78.1407
64.05	78.1407
64.15	78.1407
64.25	78.1407
64.35000000000001	78.1407
64.44999999999999	78.1407
64.55	78.1407
64.65	78.1407
64.75	78.1407
64.85000000000001	78.1407
64.94999999999999	78.1407
65.05	78.1407
65.15	78.1407
65.25	78.1407
65.35000000000001	78.1407
65.44999999999999	78.1407
65.55	78.1407
65.65	78.1407
65.75	78.1407
65.85000000000001	78.1407
65.94999999999999	78.1407
66.05	78.1407
66.15	78.1407
66.25	78.1407
66.35000000000001	78.1407
66.44999999999999	78.1407
66.55	78.1407
66.65	78.1407
66.75	78.1407
66.85000000000001	78.1407
66.94999999999999	78.1407
67.05	78.1407
67.15	78.1407
67.25	78.1407
67.35	78.1407
67.45	78.1407
67.55	78.1407
67.65	78.1407
67.75	78.1407
67.85	78.1407
67.95	78.1407
68.05	78.1407
68.15	78.1407
68.25	78.1407
68.35	78.1407
68.45	78.1407
68.55	78.1407
68.65	78.1407
68.75	78.1407
68.85	78.1407
68.95	78.1407
69.05	78.1407
69.15	78.1407
69.25	78.1407
69.35	78.1407
69.45	78.1407
69.55	78.1407
69.65	78.1407
69.75	78.1407
69.85	78.1407
69.95	78.1407
70.05	79.6105
70.15	79.61140000000002
70.25	79.61140000000002
70.35	79.61140000000002
70.45	79.61140000000002
70.55	79.61140000000002
70.65	79.61140000000002
70.75	79.61140000000002
70.85	79.61140000000002
70.95	79.61140000000002
71.05	79.61140000000002
71.15	79.61140000000002
71.25	79.61140000000002
71.35	79.61140000000002
71.45	79.61140000000002
71.55	79.61140000000002
71.65	79.61140000000002
71.75	79.61140000000002
71.85	79.61140000000002
71.95	79.61140000000002
72.05	79.61140000000002
72.15	79.61140000000002
72.25	79.61140000000002
72.35	79.61140000000002
72.45	79.61140000000002
72.55	79.61140000000002
72.65	79.61140000000002
72.75	79.61140000000002
72.85	79.61140000000002
72.95	79.61140000000002
73.05	79.61140000000002
73.15	79.61140000000002
73.25	79.61140000000002
73.35	79.61140000000002
73.45	79.61140000000002
73.55000000000001	79.61140000000002
73.64999999999999	79.61140000000002
73.75	79.61140000000002
73.85	79.61140000000002
73.95	79.61140000000002
74.05000000000001	79.61140000000002
74.14999999999999	79.61140000000002
74.25	79.61140000000002
74.35	79.61140000000002
74.45	79.61140000000002
74.55000000000001	79.61140000000002
74.64999999999999	79.61140000000002
74.75	79.61140000000002
74.85	79.61140000000002
74.95	79.61140000000002
75.05000000000001	79.61140000000002
75.14999999999999	79.61140000000002
75.25	79.61140000000002
75.35	79.61140000000002
75.45	79.61140000000002
75.55000000000001	79.61140000000002
75.64999999999999	79.61140000000002
75.75	79.61140000000002
75.85	79.61140000000002
75.95	79.61140000000002
76.05000000000001	79.61140000000002
76.14999999999999	79.61140000000002
76.25	79.61140000000002
76.35	79.61140000000002
76.45	79.61140000000002
76.55000000000001	79.61140000000002
76.64999999999999	79.61140000000002
76.75	79.61140000000002
76.85000000000001	79.61140000000002
76.95	79.61140000000002
77.05	79.61140000000002
77.14999999999999	79.61140000000002
77.25	79.61140000000002
77.35000000000001	79.61140000000002
77.45	79.61140000000002
77.55	79.61140000000002
77.64999999999999	79.61140000000002
77.75	79.61140000000002
77.85000000000001	79.61140000000002
77.95	79.61140000000002
78.05	79.61140000000002
78.14999999999999	79.61140000000002
78.25	79.61140000000002
78.35000000000001	79.61140000000002
78.45	79.61140000000002
78.55	79.61140000000002
78.64999999999999	79.61140000000002
78.75	79.61140000000002
78.85000000000001	79.61140000000002
78.95	79.61140000000002
79.05	79.61140000000002
79.14999999999999	79.61140000000002
79.25	79.61140000000002
79.35000000000001	79.61140000000002
79.45	79.61140000000002
79.55	79.61140000000002
79.65	79.61140000000002
79.75	79.61140000000002
79.85000000000001	79.61140000000002
79.94999999999999	79.61140000000002
80.05	82.9671
80.15	82.9689
80.25	82.9689
80.35000000000001	82.9689
80.44999999999999	82.9689
80.55	82.9689
80.65	82.9689
80.75	82.9689
80.85000000000001	82.9689
80.94999999999999	82.9689
81.05	82.9689
81.15	82.9689
81.25	82.9689
81.35000000000001	82.9689
81.44999999999999	82.9689
81.55	82.9689
81.65	82.9689
81.75	82.9689
81.85000000000001	82.9689
81.94999999999999	82.9689
82.05	82.9689
82.15	82.9689
82.25	82.9689
82.35000000000001	82.9689
82.44999999999999	82.9689
82.55	82.9689
82.65	82.9689
82.75	82.9689
82.85	82.9689
82.95	82.9689
83.05	82.9689
83.15	82.9689
83.25	82.9689
83.35	82.9689
83.45	82.9689
83.55	82.9689
83.65	82.9689
83.75	82.9689
83.85	82.9689
83.95	82.9689
84.05	82.9689
84.15	82.9689
84.25	82.9689
84.35	82.9689
84.45	82.9689
84.55	82.9689
84.65	82.9689
84.75	82.9689
84.85	82.9689
84.95	82.9689
85.05	82.9689
85.15	82.9689
85.25	82.9689
85.35	82.9689
85.45	82.9689
85.55	82.9689
85.65	82.9689
85.75	82.9689
85.85	82.9689
85.95	82.9689
86.05	82.9689
86.15	82.9689
86.25	82.9689
86.35	82.9689
86.45	82.9689
86.55	82.9689
86.65	82.9689
86.75	82.9689
86.85	82.9689
86.95	82.9689
87.05	82.9689
87.15	82.9689
87.25	82.9689
87.35	82.9689
87.45	82.9689
87.55	82.9689
87.65	82.9689
87.75	82.9689
87.85	82.9689
87.95	82.9689
88.05	82.9689
88.15	82.9689
88.25	82.9689
88.35	82.9689
88.45	82.9689
88.55	82.9689
88.65	82.9689
88.75	82.9689
88.85	82.9689
88.95	82.9689
89.05	82.9689
89.14999999999999	82.9689
89.25	82.9689
89.35	82.9689
89.45	82.9689
89.55000000000001	82.9689
89.64999999999999	82.9689
89.75	82.9689
89.85	82.9689
89.95	82.9689
90.05000000000001	82.9689
90.14999999999999	82.9689
90.25	82.9689
90.35	82.9689
90.45	82.9689
90.55000000000001	82.9689
90.64999999999999	82.9689
90.75	82.9689
90.85	82.9689
90.95	82.9689
91.05000000000001	82.9689
91.14999999999999	82.9689
91.25	256.073
91.35	256.169
91.45	256.169
91.55000000000001	256.169
91.64999999999999	256.169
91.75	256.169
91.85	256.169
91.95	256.169
92.05000000000001	256.169
92.14999999999999	256.169
92.25	256.169
92.35000000000001	256.169
92.45	256.169
92.55	256.169
92.64999999999999	256.169
92.75	256.169
92.85000000000001	256.169
92.95	256.169
93.05	256.169
93.14999999999999	256.169
93.25	256.169
93.35000000000001	256.169
93.45	256.169
93.55	256.169
93.64999999999999	256.169
93.75	256.169
93.85000000000001	256.169
93.95	256.169
94.05	256.169
94.14999999999999	256.169
94.25	256.169
94.35000000000001	256.169
94.45	256.169
94.55	256.169
94.64999999999999	256.169
94.75	256.169
94.85000000000001	256.169
94.95	256.169
95.05	256.169
95.14999999999999	256.169
95.25	256.169
95.35000000000001	256.169
95.44999999999999	256.169
95.55	256.169
95.65	256.169
95.75	256.169
95.85000000000001	256.169
95.94999999999999	256.169
96.05	256.169
96.15	256.169
96.25	256.169
96.35000000000001	256.169
96.44999999999999	256.169
96.55	256.169
96.65	256.169
96.75	256.169
96.85000000000001	256.169
96.94999999999999	256.169
97.05	256.169
97.15	256.169
97.25	256.169
97.35000000000001	256.169
97.44999999999999	256.169
97.55	256.169
97.65	256.169
97.75	256.169
97.85000000000001	256.169
97.94999999999999	256.169
98.05	256.169
98.15	256.169
98.25	256.169
98.35000000000001	256.169
98.45	256.169
98.55	256.169
98.65	256.169
98.75	256.169
98.85	256.169
98.95	256.169
99.05	256.169
99.15	256.169
99.25	256.169
99.35	256.169
