# WL(nm)	 Flux(ergs/cm**2/s/nm)
0.900000	 1.36E+03
1.000000	 1.82E+03
1.100000	 3.48E+03
1.200000	 3.48E+03
1.300000	 3.93E+03
1.400000	 4.99E+03
1.500000	 8.62E+03
1.600000	 4.16E+03
1.700000	 9.75E+03
1.800000	 1.49E+03
1.900000	 3.63E+03
2.000000	 1.01E+03
2.100000	 1.08E+03
2.200000	 1.16E+03
2.300000	 8.26E+02
2.400000	 8.11E+02
2.500000	 9.28E+02
2.600000	 7.21E+02
2.700000	 7.02E+02
2.800000	 7.04E+02
2.900000	 6.31E+02
3.000000	 6.75E+02
3.100000	 6.09E+02
3.200000	 6.21E+02
3.300000	 6.34E+02
3.400000	 7.72E+02
3.500000	 5.13E+02
3.600000	 5.22E+02
3.700000	 5.53E+02
3.800000	 4.70E+02
3.900000	 4.37E+02
4.000000	 4.92E+02
4.100000	 5.05E+02
4.200000	 4.34E+02
4.300000	 4.37E+02
4.400000	 5.12E+02
4.500000	 3.66E+02
4.600000	 4.68E+02
4.700000	 4.92E+02
4.800000	 3.45E+02
4.900000	 3.71E+02
5.000000	 5.05E+02
5.100000	 4.18E+02
5.200000	 3.11E+02
5.300000	 3.34E+02
5.400000	 3.45E+02
5.500000	 3.88E+02
5.600000	 2.68E+02
5.700000	 2.69E+02
5.800000	 3.13E+02
5.900000	 2.94E+02
6.000000	 2.52E+02
6.100000	 2.44E+02
6.200000	 2.29E+02
6.300000	 3.00E+02
6.400000	 3.33E+02
6.500000	 2.13E+02
6.600000	 3.61E+02
6.700000	 2.53E+02
6.800000	 2.00E+02
6.900000	 1.87E+02
7.000000	 2.01E+02
7.100000	 1.78E+02
7.200000	 1.73E+02
7.300000	 1.71E+02
7.400000	 1.75E+02
7.500000	 1.64E+02
7.600000	 1.84E+02
7.700000	 1.61E+02
7.800000	 1.56E+02
7.900000	 1.46E+02
8.000000	 1.41E+02
8.100000	 1.38E+02
8.200000	 1.35E+02
8.300000	 1.41E+02
8.400000	 1.25E+02
8.500000	 1.21E+02
8.600000	 1.23E+02
8.700000	 1.17E+02
8.800000	 1.32E+02
