# WL(nm)	 Flux(ergs/cm**2/s/nm)
0.549944	 7.41E+02
0.649944	 1.94E+03
0.749944	 2.90E+03
0.849944	 3.33E+03
0.949944	 3.33E+03
1.049944	 3.33E+03
1.149944	 5.16E+03
1.249944	 8.33E+03
1.349944	 8.27E+03
1.449944	 8.13E+03
1.549944	 8.13E+03
1.649944	 7.37E+03
1.749944	 7.36E+03
1.849944	 7.36E+03
1.949944	 4.86E+03
2.049944	 3.79E+03
2.149944	 3.79E+03
2.249944	 3.79E+03
2.349944	 3.79E+03
2.449944	 3.79E+03
2.549944	 3.79E+03
2.649944	 3.79E+03
2.749944	 3.79E+03
2.849944	 3.79E+03
2.949944	 2.00E+03
3.049944	 1.53E+03
3.149944	 1.16E+03
3.249944	 2.11E+03
3.349944	 3.21E+03
3.449944	 8.66E+02
3.549944	 8.30E+02
3.649944	 1.34E+03
3.749944	 9.93E+02
3.849944	 7.79E+02
3.949944	 7.81E+02
4.049944	 1.28E+03
4.149944	 7.61E+02
4.249944	 6.97E+02
4.349944	 8.17E+02
4.449944	 1.32E+03
4.549944	 9.23E+02
4.649944	 7.70E+02
4.749944	 6.13E+02
4.849944	 5.50E+02
4.949944	 6.30E+02
5.049944	 7.69E+02
5.149944	 4.66E+02
5.249944	 5.86E+02
5.349944	 4.57E+02
5.449944	 6.99E+02
5.549944	 4.31E+02
5.649944	 4.14E+02
5.749944	 6.64E+02
5.849944	 3.94E+02
5.949944	 4.24E+02
6.049944	 3.80E+02
6.149944	 3.51E+02
6.249944	 5.10E+02
6.349944	 9.47E+02
6.449944	 3.39E+02
6.549944	 5.67E+02
6.649944	 5.80E+02
6.749944	 3.73E+02
6.849944	 2.84E+02
6.949944	 3.66E+02
7.049944	 2.67E+02
7.149944	 2.54E+02
7.249944	 2.49E+02
7.349944	 3.17E+02
7.449944	 3.13E+02
7.549944	 3.04E+02
7.649944	 2.97E+02
7.749944	 2.40E+02
7.849944	 2.39E+02
7.949944	 2.10E+02
8.049944	 2.19E+02
8.149944	 2.16E+02
8.249944	 2.09E+02
8.349944	 2.09E+02
8.449944	 1.79E+02
8.549944	 1.77E+02
8.649944	 1.76E+02
8.749944	 2.69E+02
8.849944	 2.30E+02
8.949944	 1.74E+02
9.049944	 1.94E+02
9.149944	 2.09E+02
9.249944	 1.56E+02
9.349944	 4.04E+02
9.449944	 2.16E+02
9.549944	 1.54E+02
9.649944	 1.46E+02
9.749944	 1.73E+02
9.849944	 2.67E+02
9.949944	 1.39E+02
10.049944	 6.86E+03
10.149944	 6.86E+03
10.249944	 6.86E+03
10.349944	 6.86E+03
10.449944	 6.86E+03
10.549944	 6.86E+03
10.649944	 6.86E+03
10.749944	 6.86E+03
10.849944	 6.86E+03
10.949944	 6.86E+03
11.049944	 6.86E+03
11.149944	 6.86E+03
11.249944	 6.86E+03
11.349944	 6.86E+03
11.449944	 6.86E+03
