WL(nm) Flux(ergs/cm**2/s/nm)
10.01 4.850651E-02
10.02 1.424295E-02
10.03 2.846427E-02
10.04 1.736201E-02
10.05 1.165467E-01
10.06 9.944890E-03
10.07 4.627005E+01
10.08 7.912250E-03
10.09 1.770517E+01
10.10 5.308844E-01
10.11 1.217026E-01
10.12 9.351903E-01
10.13 1.384522E-01
10.14 5.244451E-02
10.15 6.025596E-02
10.16 2.255797E-02
10.17 2.035635E+02
10.18 3.624099E-02
10.19 1.345860E+01
10.20 2.776515E-01
10.21 2.122756E-02
10.22 1.368989E-01
10.23 1.321904E+00
10.24 3.936407E-01
10.25 1.188229E+00
10.26 1.031811E+02
10.27 1.767665E-01
10.28 4.033667E-02
10.29 1.504874E-01
10.30 1.523000E-01
10.31 2.726465E+00
10.32 1.504873E+00
10.33 1.850120E-01
10.34 4.013285E-01
10.35 3.518034E+00
10.36 4.963637E+00
10.37 2.964149E-01
10.38 1.800114E-01
10.39 2.030018E-01
10.40 4.271693E-01
10.41 1.207536E-01
10.42 9.048988E-02
10.43 2.118361E-02
10.44 4.491589E-01
10.45 2.035167E-01
10.46 3.065491E+01
10.47 7.861402E-02
10.48 1.247096E-01
10.49 5.233594E-02
10.50 1.261247E-01
10.51 3.176874E-01
10.52 6.218706E+02
10.53 4.479195E-01
10.54 1.116863E-01
10.55 4.922662E-02
10.56 6.484851E-02
10.57 4.299322E-02
10.58 2.951889E-02
10.59 1.303167E-02
10.60 1.311294E-02
10.61 9.720755E-01
10.62 6.279138E-03
10.63 5.674139E-02
10.64 2.178713E+01
10.65 9.053156E-03
10.66 3.317417E+00
10.67 5.974479E-03
10.68 7.168033E-03
10.69 6.826530E-03
10.70 9.598426E-01
10.71 8.558546E-03
10.72 2.082572E-03
10.73 3.999448E-01
10.74 2.880713E-02
10.75 5.663697E-03
10.76 1.602876E+00
10.77 2.947135E-02
10.78 8.685603E-03
10.79 1.676100E-02
10.80 1.640968E+00
10.81 3.144851E-02
10.82 7.112135E-03
10.83 6.648138E-03
10.84 4.502980E-03
10.85 6.642017E-03
10.86 1.549173E-02
10.87 3.835306E-01
10.88 1.654627E-03
10.89 6.124914E-03
10.90 1.113782E-01
10.91 1.659969E-02
10.92 2.524643E-03
10.93 7.671848E-03
10.94 1.089432E-01
10.95 1.269989E-02
10.96 5.433754E-02
10.97 4.233504E-03
10.98 2.487139E-03
10.99 1.524404E+01
11.00 2.459801E-03
11.01 4.514400E-03
11.02 1.489704E-03
11.03 4.500907E-03
11.04 2.942388E-03
11.05 7.043686E-03
11.06 7.549184E-03
11.07 2.932918E-02
11.08 5.072242E-02
11.09 3.240410E-01
11.10 6.210120E-03
11.11 1.836961E-02
11.12 4.751164E-03
11.13 5.849248E-03
11.14 5.308844E-03
11.15 1.685777E-03
11.16 5.266232E-03
11.17 5.282019E-03
11.18 1.200605E-02
11.19 6.478881E-03
11.20 4.630203E-03
11.21 2.298794E+02
11.22 4.807286E-03
11.23 2.848394E-02
11.24 2.548003E-03
11.25 5.944290E-02
11.26 6.449113E-03
11.27 4.410624E+00
11.28 5.269871E-03
11.29 2.000322E-03
11.30 5.072242E-03
11.31 5.891149E-04
11.32 6.771736E-03
11.33 3.311311E+01
11.34 4.499870E-03
11.34 1.109941E+00
11.35 1.061451E-02
11.35 4.427922E-03
11.36 7.473086E-02
11.37 6.626741E-03
11.37 9.078205E-01
11.38 6.043660E-03
11.38 1.248245E-02
11.39 6.266139E-02
11.40 1.366470E+01
11.41 6.804559E+00
11.42 4.464779E-01
11.43 3.476162E-03
11.44 5.666306E-03
11.45 3.424522E-02
11.46 1.108919E-02
11.47 2.422702E-02
11.48 2.665017E+00
11.49 3.325830E-03
11.50 9.574145E-01
11.51 4.321157E-03
11.52 1.284695E-03
11.53 9.521382E+01
11.54 1.282921E-01
11.55 9.369146E-03
11.56 5.198763E-03
11.57 9.379939E-03
11.58 9.151663E-02
11.59 1.160112E-02
11.60 1.259795E+02
11.61 8.637737E-03
11.62 5.601444E+01
11.63 1.859945E-01
11.64 2.748527E-03
11.65 2.848394E+00
11.66 8.980489E-03
11.67 2.040328E-03
11.68 3.147024E+02
11.69 1.744215E+00
11.70 1.774189E+01
11.71 5.530953E+00
11.72 1.050026E+02
11.73 1.131358E-02
11.74 2.461501E+00
11.75 1.947601E-01
11.76 1.083677E-01
11.77 2.517097E-02
11.78 2.536296E-02
11.79 1.176251E+00
11.80 2.300912E-01
11.81 1.308881E+00
11.82 2.200392E-03
11.83 1.315528E+01
11.84 4.617427E-01
11.85 3.951846E-01
11.86 1.327395E+01
11.87 6.964661E-03
11.88 2.685963E-01
11.89 2.719569E-02
11.90 8.294687E+00
11.91 3.153552E-03
11.92 4.818368E-03
11.93 1.122277E+00
11.94 1.014846E-03
11.95 4.965923E-01
11.96 3.830893E-03
11.97 1.975150E-03
11.98 3.394689E-03
11.99 7.617281E-03
12.00 9.810700E-02
12.01 7.416517E-03
12.02 5.120354E-02
12.03 6.188708E-02
12.04 1.832314E-03
12.05 2.235630E-03
12.06 4.541507E-03
12.07 5.098002E-03
12.08 1.781148E-01
12.09 5.256540E-03
12.10 1.321296E-01
12.11 5.613064E+02
12.12 5.663697E+01
12.13 1.928413E+01
12.14 6.810829E-02
12.15 8.782133E-02
12.16 1.460831E+00
12.17 4.671969E-01
12.18 1.350517E-02
12.19 4.105821E-02
12.20 3.540789E-02
12.21 3.141955E-02
12.22 1.895833E-02
12.23 7.493764E-02
12.24 1.202818E-01
12.25 2.147830E+01
12.26 2.296677E+00
12.27 8.046370E+00
12.28 9.977001E-02
12.29 3.278687E-02
12.30 1.964265E-02
12.31 9.972407E-03
12.32 3.422158E+00
12.32 6.862779E-03
12.33 1.986095E-02
12.33 5.889793E-03
12.34 5.279588E-03
12.34 2.164213E-01
12.35 2.600758E-02
12.35 4.044827E-02
12.36 8.564460E-03
12.36 5.116818E-03
12.37 5.210747E-03
12.37 3.958221E-01
12.38 2.810606E-03
12.39 7.166383E-03
12.39 5.190390E-03
12.40 5.132158E-03
12.41 2.191795E-03
12.42 4.466836E-03
12.43 1.243942E-02
12.44 3.017172E-03
12.44 5.528407E-03
12.45 5.470160E-03
12.45 5.808982E-03
12.45 2.695876E-03
12.46 9.001192E-03
12.46 4.497798E-03
12.47 3.897624E-01
12.47 1.075722E-02
12.48 2.234601E+02
12.48 5.855986E-02
12.49 9.317513E-01
12.49 7.058298E-03
12.50 1.852678E-03
12.50 8.079789E-03
12.50 9.179098E-03
12.51 1.932858E-02
12.51 1.411887E-02
12.51 6.921496E-03
12.52 1.208649E+00
12.52 2.694635E-02
12.52 6.153185E-03
12.52 1.767258E-02
12.53 2.047387E-02
12.53 7.154841E-01
12.54 1.538509E-02
12.54 5.318633E-02
12.55 4.150496E+00
12.55 7.488589E-02
12.55 2.238206E-02
12.56 5.518233E-03
12.57 3.904811E-03
12.58 7.397756E-03
12.58 4.202425E-03
12.59 4.373207E-01
12.60 5.574424E-02
12.61 4.634469E-03
12.62 3.054218E-03
12.63 1.505567E-02
12.64 4.016058E-03
12.65 4.239357E-03
12.66 5.927888E-02
12.67 3.648379E-03
12.68 6.064570E-03
12.69 4.562470E-03
12.70 3.080350E-03
12.71 4.775293E-02
12.72 2.839226E-03
12.73 3.235937E-03
12.74 4.031809E-03
12.75 3.925545E-03
12.76 9.414559E-03
12.77 8.194076E-03
12.78 1.321296E-02
12.79 2.464904E-03
12.80 5.996530E-03
12.81 1.367099E-01
12.81 4.182154E-03
12.81 8.697611E+00
12.82 5.410034E-03
12.82 2.260997E-03
12.82 1.150270E+01
12.82 8.745809E+00
12.83 1.245375E-02
12.83 1.243369E-02
12.84 5.350569E-01
12.84 1.106879E-01
12.85 4.236430E+00
12.85 1.641345E+01
12.85 2.077782E-02
12.86 3.900318E-03
12.86 2.235116E-02
12.87 2.610358E-03
12.88 3.050001E-03
12.89 2.607354E-03
12.90 5.408789E-02
12.91 4.141904E-03
12.92 1.384841E+01
12.93 3.721346E-03
12.93 2.668087E-03
12.93 3.070436E-03
12.94 4.906819E-03
12.94 4.086956E-03
12.94 1.824316E+01
12.95 6.694220E-02
12.96 2.267253E-01
12.97 7.202778E-03
12.97 1.048818E-01
12.97 5.108578E-01
12.97 5.884370E-01
12.97 2.163217E-01
12.98 1.673786E+02
12.98 3.422158E-01
12.98 1.181136E-01
12.98 9.278975E-02
12.98 7.620790E-02
12.99 1.285879E+00
12.99 4.464779E+00
12.99 3.247132E+00
13.00 1.904145E+01
13.00 7.774993E-02
13.00 8.429465E+01
13.01 3.205531E-02
13.01 1.637571E-02
13.01 2.633298E-02
13.02 1.300469E-02
13.02 1.796387E-01
13.03 2.708320E+00
13.03 1.269697E-02
13.04 2.791258E-01
13.04 3.534272E+00
13.05 4.106766E-01
13.06 7.985461E-03
13.06 1.199223E-02
13.07 1.689663E-02
13.08 9.341143E+00
13.09 4.034596E-01
13.10 6.873849E+00
13.11 7.631326E-02
13.12 6.038096E-01
13.13 2.883367E-01
13.14 4.086956E-02
13.15 1.847992E-02
13.16 1.216746E-02
13.17 1.246235E-02
13.18 7.123608E-03
13.19 3.071143E-01
13.20 2.859565E-01
13.21 8.580251E-02
13.22 3.311311E+00
13.23 2.007705E-01
13.24 5.560323E-03
13.25 3.812413E-02
13.26 5.696394E-03
13.27 6.760830E-02
13.27 4.812824E-03
13.28 1.438467E+00
13.28 1.426593E+00
13.28 3.228494E-01
13.28 8.188418E-01
13.28 8.867476E-01
13.29 4.320162E-01
13.29 4.696778E+00
13.30 7.118689E-01
13.31 2.800271E+01
13.32 9.931161E+00
13.32 4.984252E+00
13.33 1.308881E-01
13.34 1.735002E+02
13.35 5.060577E-03
13.36 1.002767E-02
13.37 2.019761E-02
13.38 1.177606E-02
13.39 1.034904E-01
13.40 1.710803E+00
13.41 1.037528E-01
13.42 1.443444E-02
13.43 3.977407E-02
13.44 1.661116E+00
13.45 6.567499E-01
13.46 3.900318E-03
13.47 2.291395E+00
13.48 3.763570E-03
13.49 5.604024E-02
13.50 9.229964E-03
13.51 1.618453E+00
13.52 4.833926E-01
13.53 5.117997E+00
13.54 2.174203E+00
13.55 6.426877E+00
13.56 1.042317E+01
13.57 1.486962E+00
13.58 3.845032E+00
13.59 7.151547E-01
13.60 5.940185E-01
13.61 4.172535E-01
13.62 1.087176E+00
13.63 1.160914E+01
13.64 1.631924E+00
13.65 4.166774E+00
13.66 4.316184E-01
13.67 2.932919E+00
13.68 8.141417E+00
13.69 3.541604E-02
13.70 1.028490E+00
13.71 3.947299E-01
13.72 6.150352E+00
13.73 3.963693E-03
13.74 7.035581E-01
13.74 3.948208E-01
13.75 2.979202E-01
13.75 4.370187E+00
13.75 8.619856E+00
13.76 1.506260E+01
13.76 1.036573E+00
13.77 1.425279E-01
13.78 1.103316E+01
13.79 4.508167E-03
13.80 1.567834E+00
13.80 1.294494E+00
13.81 9.689470E-01
13.82 2.860882E+00
13.83 7.978110E-02
13.83 1.879317E-01
13.84 6.210120E+02
13.84 5.257751E-01
13.85 1.590377E+01
13.86 1.767258E+00
13.87 2.969614E+00
13.87 2.250609E+00
13.88 1.808007E+01
13.89 9.009486E+00
13.90 2.828785E+01
13.91 3.609109E-01
13.92 2.389461E+01
13.93 4.073803E+00
13.94 1.907217E+01
13.95 1.685000E+01
13.96 1.791843E+00
13.97 6.590221E-01
13.98 6.165950E-02
13.99 2.142891E+00
14.00 5.227572E-02
14.00 4.979664E-02
14.01 1.427578E-01
14.01 4.224740E-01
14.02 2.519417E+00
14.02 4.054152E+00
14.03 8.617871E-01
14.04 1.711591E+00
14.04 4.828364E+00
14.05 1.038245E+01
14.05 3.884186E+01
14.05 2.855617E+00
14.06 7.414810E+00
14.06 8.621841E+00
14.07 3.203318E-01
14.08 1.040399E+01
14.09 1.506260E+01
14.09 4.930603E-03
14.09 9.740921E+01
14.10 1.313711E-01
14.10 4.792918E+01
14.11 2.647890E-01
14.12 2.452449E+00
14.13 1.190419E+01
14.14 9.418896E-01
14.15 8.117083E+01
14.16 5.023426E-01
14.17 7.507580E-01
14.18 8.963962E-01
14.19 5.525862E-03
14.20 1.191791E+00
14.21 6.660395E-03
14.22 6.508786E-03
14.23 6.937452E-02
14.24 1.305870E-01
14.25 3.368216E+00
14.26 9.244853E-01
14.27 3.259117E+00
14.28 6.796730E-01
14.29 7.855973E-02
14.30 3.123921E+00
14.31 2.521738E+00
14.32 1.832314E+01
14.33 6.070158E+01
14.34 1.372461E+00
14.35 1.561349E-02
14.36 1.088429E+01
14.37 9.287525E-01
14.38 5.937450E+00
14.39 8.994976E-03
14.40 1.094964E+00
14.41 1.021880E-02
14.42 4.898916E+00
14.43 7.950602E-01
14.44 9.947180E-03
14.45 8.826733E-01
14.46 2.046916E+00
14.47 8.594092E+00
14.48 4.914734E+01
14.49 2.602556E+00
14.50 2.971666E+00
14.51 7.197804E+00
14.52 2.134519E+02
14.53 1.935976E+00
14.54 6.671139E+01
14.55 2.965514E+01
14.56 3.464974E+00
14.57 5.573141E-01
14.58 9.993095E-01
14.59 7.959761E-01
14.60 1.868960E+01
14.61 8.354106E-03
14.62 1.389633E+02
14.63 8.323385E-01
14.64 1.818863E+00
14.65 7.881339E+01
14.65 5.159409E+00
14.66 1.513910E+01
14.67 2.880713E-01
14.68 9.837846E-03
14.68 9.386420E-01
14.69 9.627200E-01
14.70 3.637475E-02
14.70 1.592209E+01
14.70 7.299616E+00
14.71 2.150305E+00
14.71 2.636939E+00
14.72 3.004000E+00
14.73 1.322209E+01
14.73 7.693076E-02
14.73 4.126672E-01
14.74 1.248245E-02
14.74 1.286175E-02
14.74 1.335365E-02
14.75 4.074741E-02
14.75 1.001152E+02
14.76 9.308935E+01
14.76 4.553025E+01
14.77 1.194813E-02
14.77 2.316861E+00
14.78 3.581789E+00
14.79 6.516284E+00
14.79 4.666594E-01
14.80 8.794274E+00
14.81 2.876074E+00
14.81 1.354254E-02
14.82 3.492207E+00
14.83 7.620790E+00
14.84 7.725027E-01
14.85 1.514607E-02
14.86 3.356603E+00
14.87 1.477066E+00
14.88 5.742487E+00
14.89 7.502396E+00
14.90 1.421347E+01
14.91 3.522086E+00
14.92 1.666863E-01
14.93 2.475141E+01
14.94 1.138151E+02
14.95 1.807174E+00
14.96 4.977371E+01
14.97 4.416721E+02
14.98 8.745809E-01
14.99 1.037767E+00
15.00 2.094595E+00
15.01 1.527566E+03
15.02 1.164662E+01
15.03 1.594043E+00
15.04 4.568777E+00
15.05 8.132049E-01
15.06 1.156378E+01
15.07 4.939693E+00
15.08 9.887807E+00
15.09 5.300294E+00
15.10 1.762788E+02
15.11 1.672245E+02
15.12 3.940034E+00
15.13 4.453485E-01
15.14 8.703622E-02
15.15 5.467641E+00
15.16 2.256836E+00
15.17 7.166383E+00
15.18 2.930893E+00
15.19 1.397333E-01
15.20 3.342720E+00
15.21 3.811536E+01
15.22 1.867669E+00
15.23 2.988134E+02
15.24 2.137470E-02
15.25 2.658276E+00
15.26 2.250091E-02
15.27 2.220240E-02
15.28 3.928258E+00
15.29 2.369736E-02
15.30 1.578701E+00
15.31 2.680402E+00
15.32 2.385613E+02
15.33 7.974436E+00
15.34 4.140950E-02
15.35 5.099176E-02
15.36 4.195657E-02
15.37 2.930893E-02
15.38 1.295985E+02
15.39 3.896727E+01
15.40 3.795771E-02
15.41 2.269865E+00
15.42 5.364139E-02
15.43 9.624984E+00
15.44 3.031098E+00
15.45 2.136486E+00
15.46 2.283495E+02
15.46 1.493826E+02
15.47 1.482177E+00
15.47 2.278243E+00
15.48 2.117873E+01
15.49 9.543331E-01
15.50 2.941711E+00
15.51 2.091221E+00
15.52 1.373726E+00
15.53 1.177064E+00
15.54 1.011347E+00
15.55 1.465885E+00
15.56 2.431084E+01
15.57 5.578276E-01
15.58 2.092666E+00
15.59 5.019957E+02
15.60 5.623413E+00
15.61 1.188502E+01
15.62 1.820539E+02
15.63 4.166774E+02
15.64 5.478984E+02
15.65 8.458629E+02
15.66 3.566974E-02
15.67 1.198119E+02
15.68 1.214227E+01
15.69 2.772043E+02
15.70 5.197566E+00
15.71 6.153185E+01
15.72 5.000345E+00
15.73 1.633428E-01
15.74 4.219879E-02
15.75 9.582967E+00
15.75 1.002998E+01
15.76 1.249396E+00
15.77 3.583439E+02
15.78 6.409144E+01
15.79 2.050218E+00
15.80 4.904559E-02
15.80 4.775293E+00
15.81 4.963637E-02
15.82 7.514498E-01
15.83 3.130401E+01
15.84 2.600160E+00
15.85 5.290540E-02
15.86 2.958694E+01
15.87 4.382279E+00
15.88 5.734559E-02
15.89 8.024168E-01
15.90 1.245661E+00
15.91 1.887122E+00
15.92 6.692679E-02
15.93 6.718928E-02
15.94 3.315889E+01
15.95 7.222707E-02
15.96 4.166774E+00
15.97 4.248151E+01
15.98 8.945405E-02
15.99 1.856094E+00
15.99 5.632484E-01
16.00 8.999119E-02
16.00 4.084134E+00
16.01 2.224334E+00
16.01 1.464199E+01
16.02 4.013285E+01
16.02 2.740312E+01
16.02 8.667623E+01
16.02 2.811901E+03
16.03 1.729020E+01
16.03 7.741052E-02
16.04 5.073410E+00
16.05 3.780942E+00
16.06 1.859945E+02
16.07 8.359879E-02
16.08 1.033475E+00
16.08 2.828134E+00
16.09 8.959835E-02
16.10 4.044828E+02
16.11 1.545966E+01
16.12 9.475453E-02
16.13 2.414349E+00
16.14 2.159235E+02
16.15 3.906610E-01
16.16 1.168692E+02
16.17 5.846554E+01
16.18 2.318996E+02
16.19 2.753595E+00
16.20 1.959747E+01
16.21 1.232253E-01
16.22 7.140029E+00
16.23 6.774855E+00
16.24 7.324871E+01
16.25 2.819681E+01
16.26 1.348652E-01
16.27 6.541841E+02
16.27 2.945778E+00
16.28 4.701105E+02
16.29 1.361131E+00
16.30 2.555054E+00
16.30 1.558835E-01
16.31 6.450598E+00
16.32 6.996809E+00
16.32 1.636063E-01
16.33 1.654246E-01
16.34 1.709228E-01
16.35 2.108628E-01
16.36 5.861382E-01
16.37 1.866809E-01
16.38 1.913815E-01
16.38 2.555053E-01
16.39 3.499452E+00
16.40 2.103294E-01
16.41 2.164711E-01
16.41 2.162718E-01
16.42 2.190282E-01
16.42 1.060230E+00
16.43 3.509942E-01
16.44 2.878061E+00
16.45 2.060630E+01
16.46 2.529298E-01
16.47 7.659493E-01
16.48 1.350828E+01
16.48 2.763122E-01
16.48 2.763122E-01
16.49 3.045790E-01
16.50 2.958694E-01
16.51 5.870837E-01
16.51 8.472274E-01
16.52 3.425311E+00
16.52 1.370566E+00
16.52 1.154782E+00
16.53 3.726490E-01
16.53 3.457005E-01
16.53 3.572728E-01
16.53 3.352741E-01
16.54 5.730599E+00
16.54 7.915895E+00
16.54 8.976355E+00
16.55 2.309404E+00
16.55 2.305154E+00
16.55 3.753185E-01
16.55 3.610771E-01
16.56 3.771377E-01
16.56 1.557041E+00
16.57 4.152408E-01
16.58 5.533501E+02
16.59 4.631269E-01
16.60 4.528976E-01
16.60 4.755542E-01
16.61 4.756637E-01
16.62 5.101525E-01
16.63 4.009590E+01
16.64 1.047128E+00
16.64 5.391381E-01
16.65 5.725323E-01
16.66 8.332974E-01
16.67 6.435762E-01
16.68 3.259868E+01
16.69 7.452466E-01
16.70 8.209184E-01
16.71 1.522299E+01
16.72 1.139200E+00
16.73 1.700200E+01
16.74 4.452460E+00
16.75 8.188418E+02
16.76 3.128960E+00
16.77 1.926194E+00
16.78 2.291923E+00
16.79 2.913399E+00
16.80 1.140250E+04
16.81 9.369146E+00
16.82 6.435762E+01
16.83 5.472679E+00
16.84 3.436371E+00
16.85 1.269697E+01
16.86 8.767989E+00
16.87 4.239357E+00
16.88 2.749793E+00
16.89 2.803496E+00
16.90 3.032494E+00
16.91 3.234447E+00
16.91 1.276145E+02
16.91 4.154320E+00
16.92 3.614099E+00
16.93 1.789369E+01
16.94 4.436086E+00
16.95 5.013026E+00
16.95 5.333349E+00
16.96 5.633782E+00
16.96 5.722687E+00
16.97 8.715654E+00
16.97 9.251241E+00
16.98 1.284103E+01
16.98 7.735707E+00
16.98 8.061206E+00
16.99 9.076115E+00
17.00 1.087427E+01
17.01 1.404430E+01
17.01 1.328006E+01
17.02 1.634557E+01
17.02 1.656533E+01
17.03 2.114949E+01
17.04 3.225522E+01
17.05 3.475362E+01
17.05 6.437244E+01
17.05 4.186007E+01
17.06 8.007556E+01
17.07 6.902398E+03
17.07 9.510427E+01
17.08 1.813427E+02
17.08 2.003549E+02
17.08 2.159235E+02
17.09 2.737159E+02
17.09 4.311218E+02
17.10 2.460368E+03
17.11 3.228494E+04
17.11 1.940886E+04
17.11 1.086426E+04
17.12 9.215099E+02
17.13 2.535712E+02
17.14 1.482860E+02
17.14 1.340294E+02
17.15 7.222707E+01
17.16 4.759924E+01
17.16 4.621681E+01
17.17 3.986576E+01
17.17 3.930972E+01
17.17 3.375204E+01
17.18 2.521158E+01
17.18 2.428287E+01
17.19 1.972877E+01
17.19 1.971061E+01
17.20 1.563508E+01
17.20 1.169499E+04
17.21 1.279971E+01
17.21 1.202541E+01
17.22 1.069055E+01
17.23 9.157986E+00
17.23 9.071936E+00
17.23 9.007411E+00
17.23 8.961898E+00
17.24 8.026016E+00
17.24 7.879524E+00
17.24 7.828887E+00
17.24 7.814479E+00
17.25 7.089245E+00
17.25 4.627005E+01
17.25 1.887122E+01
17.26 6.264696E+00
17.26 6.067363E+00
17.27 5.490350E+00
17.28 6.779536E+00
17.28 5.355500E+00
17.28 5.927888E+00
17.29 6.013122E+00
17.29 6.681900E+00
17.29 1.933749E+01
17.29 1.796801E+01
17.29 3.111716E+04
17.29 1.367729E+03
17.30 1.834848E+01
17.30 1.191516E+01
17.30 1.381974E+01
17.30 2.562123E+01
17.31 7.568329E+03
17.32 4.387327E+00
17.33 1.306171E+04
17.33 1.887122E+01
17.34 1.025652E+03
17.34 2.830740E+00
17.34 1.640968E+01
17.35 2.698361E+00
17.35 2.542143E+00
17.36 2.311000E+00
17.37 5.741165E+00
17.38 2.041738E+00
17.38 1.348963E+03
17.39 2.243882E+00
17.39 2.217175E+00
17.39 2.249573E+00
17.39 1.784021E+00
17.40 1.713957E+01
17.40 1.713957E+00
17.40 3.650901E+00
17.40 3.524520E+00
17.41 1.641345E+00
17.41 1.624426E+00
17.42 2.628452E+00
17.42 5.334577E+00
17.43 1.462851E+00
17.44 7.014553E+03
17.45 1.437143E+01
17.46 5.774309E+00
17.47 1.135272E+00
17.48 6.161692E+01
17.49 2.289286E+01
17.49 1.492107E+00
17.50 1.238797E+03
17.50 9.731953E-01
17.51 6.862779E+00
17.52 9.758881E-01
17.53 1.678804E+04
17.54 8.568405E-01
17.54 1.085176E+00
17.55 6.668068E+03
17.55 7.934143E-01
