#(dyn/cm2)      (K)     (cm2/s)
Pressure        Temp    Kzz
1.000e+06   350.0  1.000e+05
9.120e+05   347.6  1.000e+05
7.586e+05   343.0  1.000e+05
6.310e+05   338.6  1.000e+05
5.248e+05   334.2  1.000e+05
4.365e+05   330.0  1.000e+05
3.631e+05   325.8  1.000e+05
3.020e+05   321.8  1.000e+05
2.512e+05   317.9  1.000e+05
2.089e+05   314.1  1.000e+05
1.738e+05   310.4  1.000e+05
1.445e+05   306.7  1.000e+05
1.202e+05   303.2  1.000e+05
1.000e+05   299.7  1.000e+05
8.318e+04   296.4  1.000e+05
6.918e+04   293.1  1.000e+05
5.754e+04   289.8  1.000e+05
4.786e+04   286.7  1.000e+05
3.981e+04   283.6  1.000e+05
3.311e+04   280.6  1.000e+05
2.754e+04   277.6  1.000e+05
2.291e+04   274.8  1.000e+05
1.905e+04   272.1  1.000e+05
1.585e+04   270.0  1.000e+05
1.318e+04   270.0  1.000e+05
1.096e+04   270.0  1.000e+05
9.120e+03   270.0  1.000e+05
7.586e+03   270.0  1.000e+05
6.310e+03   270.0  1.000e+05
5.248e+03   270.0  1.000e+05
4.365e+03   270.0  1.000e+05
3.631e+03   270.0  1.000e+05
3.020e+03   270.0  1.000e+05
2.512e+03   270.0  1.000e+05
2.089e+03   270.0  1.000e+05
1.738e+03   270.0  1.000e+05
1.445e+03   270.0  1.000e+05
1.202e+03   270.0  1.000e+05
1.000e+03   270.0  1.000e+05
8.318e+02   270.0  1.000e+05
6.918e+02   270.0  1.000e+05
5.754e+02   270.0  1.000e+05
4.786e+02   270.0  1.000e+05
3.981e+02   270.0  1.000e+05
3.311e+02   270.0  1.000e+05
2.754e+02   270.0  1.000e+05
2.291e+02   270.0  1.000e+05
1.905e+02   270.0  1.000e+05
1.585e+02   270.0  1.000e+05
1.318e+02   270.0  1.000e+05
1.096e+02   270.0  1.000e+05
9.120e+01   270.0  1.000e+05
7.586e+01   270.0  1.000e+05
6.310e+01   270.0  1.000e+05
5.248e+01   270.0  1.000e+05
4.365e+01   270.0  1.000e+05
3.631e+01   270.0  1.000e+05
3.020e+01   270.0  1.000e+05
2.512e+01   270.0  1.000e+05
2.089e+01   270.0  1.000e+05
1.738e+01   270.0  1.000e+05
1.445e+01   270.0  1.000e+05
1.202e+01   270.0  1.000e+05
1.000e+01   270.0  1.000e+05
8.318e+00   270.0  1.000e+05
6.918e+00   270.0  1.000e+05
5.754e+00   270.0  1.000e+05
4.786e+00   270.0  1.000e+05
3.981e+00   270.0  1.000e+05
3.311e+00   270.0  1.000e+05
2.754e+00   270.0  1.000e+05
2.291e+00   270.0  1.000e+05
1.905e+00   270.0  1.000e+05
1.585e+00   270.0  1.000e+05
1.318e+00   270.0  1.000e+05
1.096e+00   270.0  1.000e+05
9.120e-01   270.0  1.000e+05
7.586e-01   270.0  1.000e+05
6.310e-01   270.0  1.000e+05
5.248e-01   270.0  1.000e+05
4.365e-01   270.0  1.000e+05
3.631e-01   270.0  1.000e+05
3.020e-01   270.0  1.000e+05
2.512e-01   270.0  1.000e+05
2.089e-01   270.0  1.000e+05
1.738e-01   270.0  1.000e+05
1.445e-01   270.0  1.000e+05
1.202e-01   270.0  1.000e+05
1.000e-01   270.0  1.000e+05
8.318e-02   270.0  1.000e+05
6.918e-02   270.0  1.000e+05
5.754e-02   270.0  1.000e+05
4.786e-02   270.0  1.000e+05
3.981e-02   270.0  1.000e+05
3.311e-02   270.0  1.000e+05
2.754e-02   270.0  1.000e+05
2.291e-02   270.0  1.000e+05
1.905e-02   270.0  1.000e+05
1.585e-02   270.0  1.000e+05
1.318e-02   270.0  1.000e+05
1.096e-02   270.0  1.000e+05
