#(dyn/cm2)      (K)     (cm2/s)
Pressure        Temp    Kzz
1.000e+06   360.0  1.000e+05
9.120e+05   357.6  1.000e+05
7.586e+05   352.9  1.000e+05
6.310e+05   348.3  1.000e+05
5.248e+05   343.8  1.000e+05
4.365e+05   339.5  1.000e+05
3.631e+05   335.3  1.000e+05
3.020e+05   331.2  1.000e+05
2.512e+05   327.2  1.000e+05
2.089e+05   323.3  1.000e+05
1.738e+05   319.5  1.000e+05
1.445e+05   315.8  1.000e+05
1.202e+05   312.2  1.000e+05
1.000e+05   308.7  1.000e+05
8.318e+04   305.2  1.000e+05
6.918e+04   301.9  1.000e+05
5.754e+04   298.6  1.000e+05
4.786e+04   295.4  1.000e+05
3.981e+04   292.3  1.000e+05
3.311e+04   289.2  1.000e+05
2.754e+04   286.2  1.000e+05
2.291e+04   283.3  1.000e+05
1.905e+04   280.5  1.000e+05
1.585e+04   280.0  1.000e+05
1.318e+04   280.0  1.000e+05
1.096e+04   280.0  1.000e+05
9.120e+03   280.0  1.000e+05
7.586e+03   280.0  1.000e+05
6.310e+03   280.0  1.000e+05
5.248e+03   280.0  1.000e+05
4.365e+03   280.0  1.000e+05
3.631e+03   280.0  1.000e+05
3.020e+03   280.0  1.000e+05
2.512e+03   280.0  1.000e+05
2.089e+03   280.0  1.000e+05
1.738e+03   280.0  1.000e+05
1.445e+03   280.0  1.000e+05
1.202e+03   280.0  1.000e+05
1.000e+03   280.0  1.000e+05
8.318e+02   280.0  1.000e+05
6.918e+02   280.0  1.000e+05
5.754e+02   280.0  1.000e+05
4.786e+02   280.0  1.000e+05
3.981e+02   280.0  1.000e+05
3.311e+02   280.0  1.000e+05
2.754e+02   280.0  1.000e+05
2.291e+02   280.0  1.000e+05
1.905e+02   280.0  1.000e+05
1.585e+02   280.0  1.000e+05
1.318e+02   280.0  1.000e+05
1.096e+02   280.0  1.000e+05
9.120e+01   280.0  1.000e+05
7.586e+01   280.0  1.000e+05
6.310e+01   280.0  1.000e+05
5.248e+01   280.0  1.000e+05
4.365e+01   280.0  1.000e+05
3.631e+01   280.0  1.000e+05
3.020e+01   280.0  1.000e+05
2.512e+01   280.0  1.000e+05
2.089e+01   280.0  1.000e+05
1.738e+01   280.0  1.000e+05
1.445e+01   280.0  1.000e+05
1.202e+01   280.0  1.000e+05
1.000e+01   280.0  1.000e+05
8.318e+00   280.0  1.000e+05
6.918e+00   280.0  1.000e+05
5.754e+00   280.0  1.000e+05
4.786e+00   280.0  1.000e+05
3.981e+00   280.0  1.000e+05
3.311e+00   280.0  1.000e+05
2.754e+00   280.0  1.000e+05
2.291e+00   280.0  1.000e+05
1.905e+00   280.0  1.000e+05
1.585e+00   280.0  1.000e+05
1.318e+00   280.0  1.000e+05
1.096e+00   280.0  1.000e+05
9.120e-01   280.0  1.000e+05
7.586e-01   280.0  1.000e+05
6.310e-01   280.0  1.000e+05
5.248e-01   280.0  1.000e+05
4.365e-01   280.0  1.000e+05
3.631e-01   280.0  1.000e+05
3.020e-01   280.0  1.000e+05
2.512e-01   280.0  1.000e+05
2.089e-01   280.0  1.000e+05
1.738e-01   280.0  1.000e+05
1.445e-01   280.0  1.000e+05
1.202e-01   280.0  1.000e+05
1.000e-01   280.0  1.000e+05
8.318e-02   280.0  1.000e+05
6.918e-02   280.0  1.000e+05
5.754e-02   280.0  1.000e+05
4.786e-02   280.0  1.000e+05
3.981e-02   280.0  1.000e+05
3.311e-02   280.0  1.000e+05
2.754e-02   280.0  1.000e+05
2.291e-02   280.0  1.000e+05
1.905e-02   280.0  1.000e+05
1.585e-02   280.0  1.000e+05
1.318e-02   280.0  1.000e+05
1.096e-02   280.0  1.000e+05
