#(dyn/cm2)      (K)     (cm2/s)
Pressure        Temp    Kzz
1.000e+06   340.0  1.000e+05
9.120e+05   337.7  1.000e+05
7.586e+05   333.1  1.000e+05
6.310e+05   328.6  1.000e+05
5.248e+05   324.3  1.000e+05
4.365e+05   320.1  1.000e+05
3.631e+05   316.0  1.000e+05
3.020e+05   312.0  1.000e+05
2.512e+05   308.0  1.000e+05
2.089e+05   304.2  1.000e+05
1.738e+05   300.5  1.000e+05
1.445e+05   296.8  1.000e+05
1.202e+05   293.2  1.000e+05
1.000e+05   289.7  1.000e+05
8.318e+04   286.3  1.000e+05
6.918e+04   283.0  1.000e+05
5.754e+04   279.7  1.000e+05
4.786e+04   276.5  1.000e+05
3.981e+04   273.3  1.000e+05
3.311e+04   270.6  1.000e+05
2.754e+04   268.1  1.000e+05
2.291e+04   265.5  1.000e+05
1.905e+04   263.0  1.000e+05
1.585e+04   260.5  1.000e+05
1.318e+04   258.0  1.000e+05
1.096e+04   255.6  1.000e+05
9.120e+03   253.1  1.000e+05
7.586e+03   250.7  1.000e+05
6.310e+03   248.4  1.000e+05
5.248e+03   246.0  1.000e+05
4.365e+03   243.6  1.000e+05
3.631e+03   241.3  1.000e+05
3.020e+03   239.0  1.000e+05
2.512e+03   236.7  1.000e+05
2.089e+03   234.4  1.000e+05
1.738e+03   232.0  1.000e+05
1.445e+03   229.7  1.000e+05
1.202e+03   227.4  1.000e+05
1.000e+03   225.0  1.000e+05
8.318e+02   222.6  1.000e+05
6.918e+02   220.2  1.000e+05
5.754e+02   217.7  1.000e+05
4.786e+02   215.1  1.000e+05
3.981e+02   212.4  1.000e+05
3.311e+02   209.5  1.000e+05
2.754e+02   206.4  1.000e+05
2.291e+02   203.0  1.000e+05
1.905e+02   200.0  1.000e+05
1.585e+02   200.0  1.000e+05
1.318e+02   200.0  1.000e+05
1.096e+02   200.0  1.000e+05
9.120e+01   200.0  1.000e+05
7.586e+01   200.0  1.000e+05
6.310e+01   200.0  1.000e+05
5.248e+01   200.0  1.000e+05
4.365e+01   200.0  1.000e+05
3.631e+01   200.0  1.000e+05
3.020e+01   200.0  1.000e+05
2.512e+01   200.0  1.000e+05
2.089e+01   200.0  1.000e+05
1.738e+01   200.0  1.000e+05
1.445e+01   200.0  1.000e+05
1.202e+01   200.0  1.000e+05
1.000e+01   200.0  1.000e+05
8.318e+00   200.0  1.000e+05
6.918e+00   200.0  1.000e+05
5.754e+00   200.0  1.000e+05
4.786e+00   200.0  1.000e+05
3.981e+00   200.0  1.000e+05
3.311e+00   200.0  1.000e+05
2.754e+00   200.0  1.000e+05
2.291e+00   200.0  1.000e+05
1.905e+00   200.0  1.000e+05
1.585e+00   200.0  1.000e+05
1.318e+00   200.0  1.000e+05
1.096e+00   200.0  1.000e+05
9.120e-01   200.0  1.000e+05
7.586e-01   200.0  1.000e+05
6.310e-01   200.0  1.000e+05
5.248e-01   200.0  1.000e+05
4.365e-01   200.0  1.000e+05
3.631e-01   200.0  1.000e+05
3.020e-01   200.0  1.000e+05
2.512e-01   200.0  1.000e+05
2.089e-01   200.0  1.000e+05
1.738e-01   200.0  1.000e+05
1.445e-01   200.0  1.000e+05
1.202e-01   200.0  1.000e+05
1.000e-01   200.0  1.000e+05
8.318e-02   200.0  1.000e+05
6.918e-02   200.0  1.000e+05
5.754e-02   200.0  1.000e+05
4.786e-02   200.0  1.000e+05
3.981e-02   200.0  1.000e+05
3.311e-02   200.0  1.000e+05
2.754e-02   200.0  1.000e+05
2.291e-02   200.0  1.000e+05
1.905e-02   200.0  1.000e+05
1.585e-02   200.0  1.000e+05
1.318e-02   200.0  1.000e+05
1.096e-02   200.0  1.000e+05
