#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	5         	ok              	1.0000000000e+00	3.6000000000e+02	4.2092515928e+19	2.0119342143e+19	5.6555424077e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	5         	ok              	9.0330000000e-01	3.5730000000e+02	3.8309492922e+19	1.8311135273e+19	5.6555427181e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	5         	ok              	8.1590000000e-01	3.5470000000e+02	3.4856451581e+19	1.6660653092e+19	5.6555429691e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	5         	ok              	7.3700000000e-01	3.5210000000e+02	3.1718227688e+19	1.5160647138e+19	5.6555432397e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	5         	ok              	6.6570000000e-01	3.4960000000e+02	2.8854569485e+19	1.3791878099e+19	5.6555434531e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	5         	ok              	6.0130000000e-01	3.4700000000e+02	2.6258457958e+19	1.2550990649e+19	5.6555437567e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	5         	ok              	5.4320000000e-01	3.4460000000e+02	2.3886470972e+19	1.1417230397e+19	5.6555439346e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	5         	ok              	4.9060000000e-01	3.4210000000e+02	2.1731114130e+19	1.0387014709e+19	5.6555441960e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	5         	ok              	4.4320000000e-01	3.3980000000e+02	1.9764412576e+19	9.4469725651e+18	5.6555443376e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	5         	ok              	4.0030000000e-01	3.3740000000e+02	1.7978276808e+19	8.5932369816e+18	5.6555445610e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	5         	ok              	3.6160000000e-01	3.3520000000e+02	1.6346770709e+19	7.8134113450e+18	5.6555446662e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	5         	ok              	3.2660000000e-01	3.3290000000e+02	1.4866541881e+19	7.1058929764e+18	5.6555448524e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	5         	ok              	2.9500000000e-01	3.3070000000e+02	1.3517469703e+19	6.4610648189e+18	5.6555449874e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	5         	ok              	2.6650000000e-01	3.2840000000e+02	1.2297070568e+19	5.8777396018e+18	5.6555452038e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	5         	ok              	2.4070000000e-01	3.2620000000e+02	1.1181491716e+19	5.3445163562e+18	5.6555453655e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	5         	ok              	2.1740000000e-01	3.2410000000e+02	1.0164549382e+19	4.8584393505e+18	5.6555454773e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	5         	ok              	1.9640000000e-01	3.2190000000e+02	9.2454518840e+18	4.4191300618e+18	5.6555456673e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	5         	ok              	1.7740000000e-01	3.1990000000e+02	8.4032448360e+18	4.0165728873e+18	5.6555457439e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	5         	ok              	1.6030000000e-01	3.1780000000e+02	7.6434122363e+18	3.6533889125e+18	5.6555458990e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	5         	ok              	1.4480000000e-01	3.1580000000e+02	6.9480686021e+18	3.3210293453e+18	5.6555460014e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	5         	ok              	1.3080000000e-01	3.1380000000e+02	6.3162960152e+18	3.0190553946e+18	5.6555461158e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
